2478;10;машу;ЊЂЂ;V ipf praes sg 1p;;;у;ш;а;м;;;S;ЊЂЂ;S f anim acc sg
2479;11;руками;ђ“ЉЂ;S f inan ins pl;;;и;м;а;к;у;р;S;ђ“ЉЂ;S f inan ins pl
2480;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2481;13;когда;ЉЋѓ„Ђ;CONJ;;;а;д;г;о;к;;CONJ;ЉЋѓ„Ђ;CONJ
2482;14;говорю;ѓЋ‚Ћђ€’њ;V ipf praes sg indic - 1p;;;ю;р;о;в;о;г;V;ѓЋ‚Ћђ€’њ;V ipf praes sg indic - 1p
2483;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2484;16;а;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ
2485;17;может;ЊЋ†…’;PARENTH;;;т;е;ж;о;м;;ADV;ЊЋ†…’;ADV -
2486;18;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2487;19;машу;ЊЂЂ;V ipf praes sg 1p;;;у;ш;а;м;;;S;ЊЂЂ;S f anim acc sg
2488;20;,;,;SENT;;;;;;;;;SENT;,;SENT
2489;;;;;;;;;;;;;;;
2490;1;Й;Й;PUNC;;;;;;;;;PUNC;Й;PUNC
2491;2;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART
2492;3;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2493;4;чтоб;—’ЋЃ;CONJ;;;б;о;т;ч;;;CONJ;—’ЋЃ;CONJ
2494;5;завершить;‡Ђ‚…ђ€’њ;V pf tran - inf - -;;;ь;т;и;ш;р;е;V;‡Ђ‚…ђ€’њ;V pf - - inf - -
2495;6;это;ќ’Ћ’;A - acc sg plen n inan;;;о;т;э;;;;A;ќ’Ћ’;A - acc sg plen n inan
2496;7;импровизированное;€ЊЏђЋ‚€‡€ђЋ‚ЂЌЌ›‰;A - acc sg plen n inan;;;е;о;н;н;а;в;A;€ЊЏђЋ‚€‡€ђЋ‚ЂЌЌ›‰;A - acc sg plen n inan
2497;8;интервью;€Ќ’…ђ‚њћ;S n inan sg dat;;;ю;ь;в;р;е;т;S;€Ќ’…ђ‚њћ;S n inan nonflex nonflex
2498;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2499;10;хочу;•Ћ’…’њ;V ipf praes sg indic - 1p;;;у;ч;о;х;;;V;•Ћ’…’њ;V ipf praes sg indic - 1p
2500;11;вам;‚›;SPRO pl 2p - dat;;;м;а;в;;;;SPRO;‚›;SPRO pl 2p - dat
2501;12;пожелать;ЏЋ†…‹Ђ’њ;V pf - - inf tran -;;;ь;т;а;л;е;ж;V;ЏЋ†…‹Ђ’њ;V pf - - inf - -
2502;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2503;14;дорогие;„ЋђЋѓЋ‰;A - nom pl plen - -;;;е;и;г;о;р;о;A;„ЋђЋѓЋ‰;A - nom pl plen - -
2504;15;телезрители;’…‹…‡ђ€’…‹њ;S m anim nom pl;;;и;л;е;т;и;р;S;’…‹…‡ђ€’…‹њ;S m anim nom pl
2505;16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2506;17;здоровьЯ;‡„ЋђЋ‚њ…;S n inan gen sg ;;;Я;ь;в;о;р;о;S;‡„ЋђЋ‚њ…;S n inan gen sg
2507;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2508;19;счастьЯ;‘—Ђ‘’њ…;S n inan gen sg ;;;Я;ь;т;с;а;ч;S;‘—Ђ‘’њ…;S n inan gen sg
2509;20;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2510;21;,;,;SENT;;;;;;;;;SENT;,;SENT
2511;;;;;;;;;;;;;;;
2512;1;благополучиЯ;Ѓ‹ЂѓЋЏЋ‹“—€…;S n inan gen sg 2p;;;Я;и;ч;у;л;о;S;Ѓ‹ЂѓЋЏЋ‹“—€…;S n inan gen sg
2513;2;,;,;SENT;;;;;;;;;SENT;,;SENT
2514;;;;;;;;;;;;;;;
2515;1;ѓрызите;ѓђ›‡’њ;V ipf tran pl imper - 2p;;;е;т;и;з;ы;р;V;ѓђ›‡’њ;V ipf - pl imper - 2p
2516;2;гранит;ѓђЂЌ€’;S m inan nom sg ;;;т;и;н;а;р;г;S;ѓђЂЌ€’;S m inan nom sg
2517;3;науки;ЌЂ“ЉЂ;S f inan gen sg ;;;и;к;у;а;н;;S;ЌЂ“ЉЂ;S f inan gen sg
2518;4;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ
2519;5;пусть;Џ“‘’њ;PART;;;ь;т;с;у;п;;PART;Џ“‘’њ;PART
2520;6;это;ќ’Ћ;S n - nom sg inan;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg
2521;7;принесЮт;Џђ€Ќ…‘’€;V pf fut sg indic - 3p;;;т;Ю;с;е;н;и;V;Џђ€Ќ…‘’€;V pf fut sg indic - 3p
2522;8;достойные;„Ћ‘’Ћ‰Ќ›‰;A m acc pl plen - inan;;;е;ы;н;й;о;т;A;„Ћ‘’Ћ‰Ќ›‰;A - acc pl plen - inan
2523;9;плоды;Џ‹Ћ„;S m inan acc pl;;;ы;д;о;л;п;;S;Џ‹Ћ„;S m inan acc pl
2524;10;как;ЉЂЉ;CONJ;;;к;а;к;;;;CONJ;ЉЂЉ;CONJ
2525;11;вам;‚›;SPRO pl 2p - dat;;;м;а;в;;;;SPRO;‚›;SPRO pl 2p - dat
2526;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
2527;13;так и;так и;ZERO;;;и; ;к;а;т;;ZERO;так и;ZERO
2528;14;тому;’Ћ’;A - dat sg plen m -;;;у;м;о;т;;;A;’Ћ’;A - dat sg plen m -
2529;15;миру;Њ€ђ;S m inan dat sg ;;;у;р;и;м;;;S;Њ€ђ;S m inan dat sg
2530;16;в;‚;PR;;;в;;;;;;PR;‚;PR
2531;17;котором;ЉЋ’Ћђ›‰;A - loc sg plen m -;;;м;о;р;о;т;о;A;ЉЋ’Ћђ›‰;A - loc sg plen m -
2532;18;вы;‚›;SPRO pl 2p - nom;;;ы;в;;;;;SPRO;‚›;SPRO pl 2p - nom
2533;19;живЮте;†€’њ;V ipf praes pl indic tran 2p;;;е;т;Ю;в;и;ж;V;†€’њ;V ipf praes pl indic - 2p
2534;20;который;ЉЋ’Ћђ›‰;A - nom sg plen m -;;;й;ы;р;о;т;о;A;ЉЋ’Ћђ›‰;A - nom sg plen m -
2535;21;нас;Њ›;SPRO pl 1p - loc;;;с;а;н;;;;SPRO;Њ›;SPRO pl 1p - loc
2536;22;,;,;SENT;;;;;;;;;SENT;,;SENT
2537;;;;;;;;;;;;;;;
2538;1;окружает;ЋЉђ“†Ђ’њ;V ipf praes sg indic tran 3p;;;т;е;а;ж;у;р;V;ЋЉђ“†Ђ’њ;V ipf praes sg indic - 3p
2539;2;,;,;SENT;;;;;;;;;SENT;,;SENT
2540;;;;;;;;;;;;;;;
2541;1;‘пасибо;‘ЏЂ‘€ЃЋ;S n inan nom sg;;;о;б;и;с;а;п;S;‘ЏЂ‘€ЃЋ;S n inan nonflex nonflex
2542;2;за;‡Ђ;PR;;;а;з;;;;;PR;‡Ђ;PR
2543;3;внимание;‚Ќ€ЊЂЌ€…;S n inan acc sg;;;е;и;н;а;м;и;S;‚Ќ€ЊЂЌ€…;S n inan acc sg
2544;4;,;,;SENT;;;;;;;;;SENT;,;SENT
